County_Code,Year,total_chunks,sample_reliable,keyword_passed,filter_passed,scored,equipment_index,environment_index,ecommerce_index,brandquality_index,cluster_index,finance_index,education_index,L1_equipment_index,L2_equipment_index,L1_environment_index,L2_environment_index,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_index,L2_brandquality_index,L1_cluster_index,L2_cluster_index,L1_finance_index,L2_finance_index,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130628,2002,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2003,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2004,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2005,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2006,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2007,3,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2008,3,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2009,3,0,1,1,1,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2010,3,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,66.67,0.0,-4.2146429502441345
130628,2011,3,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2012,3,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2013,3,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2014,4,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2015,39,1,24,21,21,10.26,43.59,10.26,7.69,38.46,20.51,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2016,4,0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.26,0.0,43.59,0.0,10.26,0.0,7.69,0.0,38.46,0.0,20.51,0.0,5.13,0.0,130.77,92.31,38.46,4.472334,0.8606397826514613
130628,2017,49,1,24,24,24,18.37,83.67,22.45,20.41,22.45,14.29,14.29,0.0,10.26,0.0,43.59,0.0,10.26,0.0,7.69,0.0,38.46,0.0,20.51,0.0,5.13,0.0,0.0,0.0,0.0,0.0
130628,2018,50,1,21,19,19,14.0,54.0,16.0,16.0,24.0,6.0,12.0,18.37,0.0,83.67,0.0,22.45,0.0,20.41,0.0,22.45,0.0,14.29,0.0,14.29,0.0,181.64,124.49000000000001,57.15,15.370179,0.7692001951575435
130628,2019,37,1,13,12,12,10.81,91.89,0.0,8.11,16.22,5.41,0.0,14.0,18.37,54.0,83.67,16.0,22.45,16.0,20.41,24.0,22.45,6.0,14.29,12.0,14.29,130.0,92.0,38.0,7.56,0.8690378470236095
130628,2020,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,14.0,91.89,54.0,0.0,16.0,8.11,16.0,16.22,24.0,5.41,6.0,0.0,12.0,132.44,118.92,13.52,9.933309000000001,2.111297844397692
130628,2021,17,1,4,4,4,11.76,17.65,0.0,29.41,29.41,0.0,0.0,0.0,10.81,0.0,91.89,0.0,0.0,0.0,8.11,0.0,16.22,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2022,8,0,4,3,3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,11.76,0.0,17.65,0.0,0.0,0.0,29.41,0.0,29.41,0.0,0.0,0.0,0.0,0.0,88.22999999999999,58.81999999999999,29.41,2.07564,0.6765685515125286
130628,2023,23,1,4,2,2,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,11.76,0.0,17.65,0.0,0.0,0.0,29.41,50.0,29.41,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,3.9318256327243257
130628,2024,19,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,50.0,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,2.272125885509337
130628,2025,6,0,2,2,2,16.67,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130628,2026,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,16.67,50.0,0.0,-1.0599573463927208
