year,province,county,above_scale_ind_firms,above_scale_industry_output,agri_employment,agri_labor,agri_machinery_power,agriculture_va,animal_husbandry_va,area_km2,capital_construction_invest,cotton_output,crop_sowing_area,deposit_balance,facility_agri_area,facility_agri_plant_area,fertilizer_usage,fiscal_expenditure,fiscal_revenue_per_capita,fixed_asset_invest,fixed_asset_invest_ex_household,fixed_phone,gdp,grain_output,grain_per_capita,grain_sowing_area,hospital_beds,hospital_beds_per_10k,loan_balance,local_fiscal_expenditure,local_fiscal_revenue,local_phone,meat_output,mechanical_harvest_area,middle_school_students,oilseed_output,plastic_film_usage,primary_industry_va,primary_school_students,public_fiscal_expenditure,public_fiscal_revenue,registered_pop,rural_electricity,rural_employment,rural_households,rural_labor,rural_pop,secondary_employment,secondary_industry_va,students_per_teacher,subdistrict_count,tax_revenue,tertiary_employment,tertiary_industry_va,total_households,total_pop,total_students,town_count,township_count,urban_fixed_invest,village_committee_count,voc_edu_students,welfare_beds,welfare_institutions
2000,广东省,龙山县,,,,19.7,6.6,,,,,,75800.0,9009.0,,,9024.0,7974.0,166.9,,,,,164224.0,342.1,54620.0,,14.4,35379.0,,8012.0,,17199.0,,,,89.0,,,,,,,,,21.7,44.8,,,,,,,,,48.0,,,47.0,,545.0,,,
2000,广西壮族自治区,云安县,,,,17.9,13.8,,,,,,89749.0,10787.0,,,19696.0,3216.0,79.0,,,,,196769.0,410.8,50017.0,,2.0,19357.0,,3784.0,,9913.0,,,,38.0,,,,,,,,,21.4,46.0,,,,,,,,,47.9,,,13.0,,1137.0,,,
2000,广西壮族自治区,罗定市,,,,20.2,12.0,,,,,,87514.0,71557.0,,,21944.0,6186.0,103.8,,,,,370715.0,404.7,63316.0,,5.9,88970.0,,9505.0,,30003.0,,,,44.0,,,,,,,,,39.4,82.2,,,,,,,,,91.6,,,23.0,,316.0,,,
2000,广西壮族自治区,邕宁县,,,,36.2,27.8,,,,,,143064.0,31669.0,,,39771.0,6935.0,102.5,,,,,305468.0,358.1,81238.0,,6.9,44211.0,,8741.0,,19546.0,,,,72.0,,,,,,,,,39.8,77.9,,,,,,,,,85.3,,,21.0,,1195.0,,,
2000,广西壮族自治区,郁南县,,,,12.4,8.4,,,,,,43140.0,41785.0,,,7702.0,3917.0,87.2,,,,,139225.0,310.1,28769.0,,2.7,66051.0,,3917.0,,10326.0,,,,37.0,,,,,,,,,20.7,40.5,,,,,,,,,44.9,,,18.0,,184.0,,,
2000,新疆维吾尔自治区,乌鲁木齐县,,,,4.9,17.6,,,,,,23520.0,16394.0,,,2072.0,4284.0,283.0,,,,,58630.0,368.7,14550.0,,16.4,39951.0,,4500.0,,3645.0,,,,545.0,,,,,,,,,6.3,12.3,,,,,,,,,15.9,,,20.0,,105.0,,,
2000,新疆维吾尔自治区,吐鲁番市,,,,6.7,13.0,,,,,,17260.0,25721.0,,,2411.0,4245.0,208.8,,,,,28288.0,128.6,8650.0,,13.9,20278.0,,4594.0,,1858.0,,,,137.0,,,,,,,,,7.2,15.2,,,,,,,,,22.0,,,8.0,,95.0,,,
2000,新疆维吾尔自治区,彭阳县,,,,8.9,2.7,,,,,,71404.0,1381.0,,,3598.0,361.0,18.1,,,,,47059.0,208.2,54257.0,,1.5,8249.0,,410.0,,4046.0,,,,138.0,,,,,,,,,9.6,21.6,,,,,,,,,22.6,,,20.0,,166.0,,,
2000,新疆维吾尔自治区,泾源县,,,,4.0,2.6,,,,,,17181.0,1430.0,,,2883.0,172.0,20.5,,,,,25989.0,265.2,14786.0,,3.1,3712.0,,201.0,,981.0,,,,14.0,,,,,,,,,4.3,9.2,,,,,,,,,9.8,,,10.0,,98.0,,,
2000,江苏省,六合县,,,,19.2,25.4,,,,,,97770.0,38330.0,,,28155.0,5533.0,77.1,,,,,429312.0,633.2,78250.0,,9.1,70658.0,,5226.0,,24209.0,,,,119.0,,,,,,,,,28.8,58.5,,,,,,,,,67.8,,,24.0,,433.0,,,
2000,江苏省,江宁县,,,,19.1,39.9,,,,,,115870.0,57895.0,,,23475.0,11032.0,144.6,,,,,457804.0,609.6,87150.0,,8.6,112964.0,,10858.0,,29747.0,,,,153.0,,,,,,,,,37.7,66.4,,,,,,,,,75.1,,,23.0,,350.0,,,
2000,江苏省,江浦县,,,,6.6,12.5,,,,,,40990.0,21675.0,,,10249.0,3004.0,98.5,,,,,173052.0,586.6,31930.0,,9.5,51957.0,,2905.0,,8681.0,,,,49.0,,,,,,,,,10.6,24.9,,,,,,,,,29.5,,,11.0,,155.0,,,
2000,江苏省,溧水县,,,,12.1,17.8,,,,,,61790.0,26777.0,,,13710.0,5257.0,123.6,,,,,232833.0,577.7,42300.0,,9.3,55684.0,,4983.0,,12516.0,,,,94.0,,,,,,,,,18.6,36.0,,,,,,,,,40.3,,,17.0,,212.0,,,
2000,江西省,南昌县,,,,30.5,33.4,,,,,,209951.0,64761.0,,,54802.0,7725.0,87.9,,,,,805130.0,865.7,130555.0,,8.3,117005.0,,8175.0,,46985.0,,,,269.0,,,,,,,,,40.9,85.9,,,,,,,,,93.0,,,20.0,,313.0,,,
2000,江西省,安义县,,,,6.4,4.4,,,,,,51623.0,51712.0,,,6916.0,1378.0,71.3,,,,,134968.0,616.3,29321.0,,6.5,19530.0,,1561.0,,7536.0,,,,245.0,,,,,,,,,8.8,19.2,,,23.2,,,,,,21.9,,,11.0,,116.0,,,
2000,江西省,新建县,,,,18.5,17.4,,,,,,145367.0,31439.0,,,20014.0,4460.0,82.1,,,,,337350.0,575.7,81607.0,,7.5,62935.0,,4812.0,,19576.0,,,,165.0,,,,,,,,,23.3,48.5,,,,,,,,,58.6,,,24.0,,338.0,,,
2000,江西省,进贤县,,,,21.5,17.8,,,,,,152394.0,33466.0,,,17809.0,4361.0,65.9,,,,,336450.0,509.8,90851.0,,4.1,55230.0,,4350.0,,21186.0,,,,109.0,,,,,,,,,28.5,59.2,,,18.8,,,,,,66.0,,,26.0,,295.0,,,
2000,河北省,井陉县,,,,7.2,22.2,,,,,,31487.0,44478.0,,,6254.0,5532.0,192.4,,,,,82713.0,265.1,27540.0,,9.6,27846.0,,6003.0,,6764.0,,,,3.0,,,,,,,,,12.1,28.7,,,,,,,,,31.2,,,21.0,,318.0,,,
2000,河北省,栾城县,,,,11.8,22.0,,,,,,46980.0,43125.0,,,12652.0,2555.0,79.2,,,,,298012.0,876.5,41940.0,,4.4,45700.0,,2694.0,,14110.0,,,,27.0,,,,,,,,,17.1,32.1,,,,,,,,,34.0,,,16.0,,192.0,,,
2000,河北省,正定县,,,,17.0,52.9,,,,,,63840.0,84096.0,,,20407.0,4780.0,91.6,,,,,318217.0,580.7,51053.0,,5.8,56307.0,,5019.0,,25756.0,,,,94.0,,,,,,,,,27.2,50.4,,,,,,,,,54.8,,,25.0,,222.0,,,
2000,河北省,蓟县,,,,19.5,37.3,,,,,,81218.0,108944.0,,,17010.0,9723.0,131.1,,,,,390258.0,518.3,70467.0,,11.0,246549.0,,9873.0,,36841.0,,,,163.0,,,,,,,,,30.1,68.7,,,,,,,,,75.3,,,41.0,,949.0,,,
2000,河南省,东明县,,,,22.3,28.2,,,,,,125428.0,30578.0,,,19729.0,2551.0,41.9,,,,,327567.0,508.6,88571.0,,5.1,47136.0,,2697.0,,15390.0,,,,41.0,,,,,,,,,25.0,57.8,,,,,,,,,64.4,,,22.0,,619.0,,,
2000,河南省,中牟县,,,,23.6,21.5,,,,,,103800.0,30773.0,,,26976.0,2627.0,47.0,,,,,298791.0,486.6,75000.0,,8.1,52245.0,,2884.0,,14872.0,,,,745.0,,,,,,,,,27.1,55.8,,,,,,,,,61.4,,,20.0,,422.0,,,
2000,河南省,郓城县,,,,37.9,32.9,,,,,,178931.0,52791.0,,,26373.0,3351.0,37.3,,,,,562048.0,552.7,124990.0,,4.1,69648.0,,3792.0,,40310.0,,,,80.0,,,,,,,,,42.2,91.7,,,,,,,,,101.7,,,38.0,,1034.0,,,
2000,河南省,鄄城县,,,,25.6,18.8,,,,,,110790.0,25411.0,,,14437.0,2429.0,34.8,,,,,358886.0,506.9,78410.0,,7.1,45485.0,,2463.0,,13251.0,,,,41.0,,,,,,,,,29.7,62.5,,,,,,,,,70.8,,,25.0,,863.0,,,
2000,浙江省,临安县,,,,18.7,21.0,,,,,,46400.0,57403.0,,,12802.0,10237.0,210.3,,,,,187936.0,375.9,36500.0,,8.4,60485.0,,10515.0,,15831.0,,,,62.0,,,,,,,,,27.1,45.1,,,,,,,,,50.0,,,39.0,,661.0,,,
2000,浙江省,桐庐县,,,,12.7,13.7,,,,,,45120.0,46023.0,,,7727.0,7276.0,178.9,,,,,168639.0,439.2,35400.0,,7.8,52376.0,,6870.0,,12348.0,,,,85.0,,,,,,,,,19.8,33.0,,,,,,,,,38.4,,,26.0,,406.0,,,
2000,浙江省,淳安县,,,,20.6,10.2,,,,,,50050.0,27213.0,,,9443.0,4277.0,84.8,,,,,133446.0,301.2,42150.0,,8.6,38586.0,,3757.0,,9914.0,,,,19.0,,,,,,,,,24.6,40.3,,,,,,,,,44.3,,,37.0,,898.0,,,
2000,浙江省,萧山市,,,,30.7,35.4,,,,,,143600.0,216852.0,,,30791.0,45277.0,379.8,,,,,470310.0,401.3,90150.0,,9.0,203253.0,,44512.0,,35388.0,,,,253.0,,,,,,,,,67.5,99.2,,,,,,,,,117.2,,,31.0,,797.0,,,
2000,海南省,大化自治县,,,,15.8,4.2,,,,,,36976.0,9384.0,,,3263.0,1577.0,46.3,,,,,56684.0,140.0,29583.0,,3.2,11738.0,,1874.0,,9874.0,,,,28.0,,,,,,,,,17.0,37.6,,,,,,,,,40.5,,,19.0,,692.0,,,
2000,海南省,琼海市,,,,10.7,13.8,,,,,,56238.0,68281.0,,,13315.0,3709.0,95.4,,,,,193879.0,455.1,44805.0,,15.1,69928.0,,4066.0,,17104.9,,,,1.0,,,,,,,,,13.9,31.8,,,,,,,,,42.6,,,21.0,,198.0,,,
2000,海南省,通什市,,,,2.2,0.7,,,,,,10641.0,19554.0,,,794.0,850.0,97.8,,,,,27986.0,297.7,7238.0,,6.5,30335.0,,919.0,,1245.0,,,,2.0,,,,,,,,,2.3,5.4,,,,,,,,,9.4,,,8.0,,52.0,,,
2000,海南省,都安自治县,,,,24.5,7.9,,,,,,80967.0,10073.0,,,7753.0,1121.0,23.4,,,,,121459.0,196.5,67865.0,,4.5,9609.0,,1446.0,,23952.0,,,,,,,,,,,,,28.2,59.4,,,,,,,,,61.8,,,22.0,,982.0,,,
